"","formula","GPR","expression_type","flux_type","correlated","predicted_by_default_FPA","PCC_by_target_expression","FDR_by_target_expression","PCC_by_default_FPA","FDR_by_default_FPA","predicted_by_optimal_boundary_FPA","maxPCC","coexpressionPCC","coexpressionPval"
"r_0499","10-formyl-THF [cytoplasm] + 5-phospho-ribosyl-glycineamide [cytoplasm]  -> 5'-phosphoribosyl-N-formylglycineamide [cytoplasm] + H+ [cytoplasm] + THF [cytoplasm] ","YDR408C","Not measured","High Diversity","No","Yes",NA,NA,0.596371234137139,0.00574471064438507,"Yes",0.650090334890969,0.678327013609789,0.000193964445288158
"r_0505","dihydrolipoamide [mitochondrion] + NAD [mitochondrion]  -> H+ [mitochondrion] + lipoamide [mitochondrion] + NADH [mitochondrion] ","(( YAL044C and YDR019C and YFL018C and YMR189W ) or ( YDR148C and YFL018C and YIL125W ))","High Diversity","High Diversity","No","No",0.0168945559676473,0.988246525616098,0.232522680093853,0.382398305359672,"No",0.273534095616384,0.219445859034227,0.291896270574368
"r_0510","H2O [cytoplasm] + UDP-D-glucose [cytoplasm]  -> glycogen [cytoplasm] + H+ [cytoplasm] + UDP [cytoplasm] ","(( YFR015C and YJL137C ) or ( YFR015C and YKR058W ) or ( YJL137C and YLR258W ) or ( YKR058W and YLR258W ))","Not measured","High Diversity","No","No",NA,NA,-0.552770796507273,0.0113104317588117,"No",-0.430263800818687,NA,NA
"r_0514","ATP [cytoplasm] + H2O [cytoplasm] + L-glutamine [cytoplasm] + xanthosine-5-phosphate [cytoplasm]  -> AMP [cytoplasm] + diphosphate [cytoplasm] + GMP [cytoplasm] + 2 H+ [cytoplasm] + L-glutamate [cytoplasm] ","YMR217W","High Diversity","High Diversity","No","No",0.375786376153719,0.144996085774336,-0.141185150870206,0.628272104739347,"Yes",0.470268670079825,0.684193409018139,0.000162189777586725
"r_0528","ATP [cytoplasm] + GMP [cytoplasm]  -> ADP [cytoplasm] + GDP [cytoplasm] ","YDR454C","Low Variability","High Diversity","No","No",0.273490018900047,0.358015021513824,0.294754770566892,0.241463322064572,"Yes",0.571021313028095,0.682366513752132,0.000171556132769661
"r_0534","ATP [cytoplasm] + D-glucose [cytoplasm]  -> ADP [cytoplasm] + D-glucose 6-phosphate [cytoplasm] + H+ [cytoplasm] ","( YLR446W or YCL040W or YFR053C or YGL253W )","Not measured","High Diversity","No","Yes",NA,NA,0.729370477381816,0.000257729710566656,"Yes",0.740185378642716,0.313284653675298,0.127280896960134
"r_0536","H2O [cytoplasm] + L-histidinol [cytoplasm] + 2 NAD [cytoplasm]  -> 3 H+ [cytoplasm] + L-histidine [cytoplasm] + 2 NADH [cytoplasm] ","YCL030C","High Diversity","High Diversity","Yes","Yes",0.823195840028642,1.13146935305001e-05,0.815890341642102,1.03364949104671e-05,"Yes",0.823570960293608,0.811197356243598,8.69553701835007e-07
"r_0537","H2O [cytoplasm] + L-histidinol phosphate [cytoplasm]  -> L-histidinol [cytoplasm] + phosphate [cytoplasm] ","YFR025C","Not measured","High Diversity","No","Yes",NA,NA,0.817423922373155,1.03364949104671e-05,"Yes",0.821219935951852,0.813189847951808,7.77773833817247e-07
"r_0538","3-(imidazol-4-yl)-2-oxopropyl dihydrogen phosphate [cytoplasm] + L-glutamate [cytoplasm]  -> 2-oxoglutarate [cytoplasm] + L-histidinol phosphate [cytoplasm] ","YIL116W","High Diversity","High Diversity","Yes","Yes",0.736570216866597,0.000262179734808849,0.815492104303916,1.03364949104671e-05,"Yes",0.821088523211529,0.812887143923747,7.91132975966067e-07
"r_0542","but-1-ene-1,2,4-tricarboxylic acid [mitochondrion] + H2O [mitochondrion]  <=> homoisocitrate [mitochondrion] ","( YJL200C or YDR234W )","High Diversity","High Diversity","No","Yes",0.21609007646744,0.43668752319819,0.512394128341047,0.0220092983800438,"Yes",0.566627760432656,0.317621994177115,0.121819025694214
"r_0545","homoisocitrate [mitochondrion] + NAD [mitochondrion]  -> 2-oxoadipic acid [mitochondrion] + carbon dioxide [mitochondrion] + H+ [mitochondrion] + NADH [mitochondrion] ","YIL094C","High Diversity","High Diversity","No","Yes",0.426724175584168,0.0813981180444201,0.530923668636102,0.0163409767518389,"Yes",0.570829613545637,0.311328335766484,0.129801724355333
"r_0547","H+ [cytoplasm] + L-aspartate 4-semialdehyde [cytoplasm] + NADPH [cytoplasm]  -> L-homoserine [cytoplasm] + NADP(+) [cytoplasm] ","YJR139C","Low Variability","High Diversity","No","No",0.219849019312164,0.436482434017548,0.321827369914573,0.196333010370906,"No",0.444691701906467,0.374331486908645,0.0652538715090346
"r_0548","ATP [cytoplasm] + L-homoserine [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + O-phospho-L-homoserine [cytoplasm] ","YHR025W","High Diversity","High Diversity","No","No",-0.0672856560639951,0.840937384895041,0.198527829336961,0.458126937053253,"No",0.298861286490693,0.410597782573309,0.0414705582633396
"r_0549","acetyl-CoA [cytoplasm] + L-homoserine [cytoplasm]  -> coenzyme A [cytoplasm] + O-acetyl-L-homoserine [cytoplasm] ","YNL277W","Not measured","High Diversity","No","Yes",NA,NA,0.456077654308272,0.0479492663706905,"Yes",0.494125021629146,0.0664567377597789,0.752290132832764
"r_0553","(R)-S-lactoylglutathione [cytoplasm] + H2O [cytoplasm]  -> (R)-lactate [cytoplasm] + glutathione [cytoplasm] + H+ [cytoplasm] ","YDR272W","Not measured","Low Diversity","No","No",NA,NA,-0.0947741329564837,0.747452927351538,"No",-0.064855726318722,NA,NA
"r_0563","5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [cytoplasm] + L-glutamine [cytoplasm]  -> AICAR [cytoplasm] + D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate [cytoplasm] + H+ [cytoplasm] + L-glutamate [cytoplasm] ","YBR248C","Low Diversity","High Diversity","Yes","Yes",0.824346173987445,1.13146935305001e-05,0.807755906416638,1.39274077192297e-05,"Yes",0.828676097178463,0.812613016819068,8.03407803348627e-07
"r_0564","D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate [cytoplasm]  -> 3-(imidazol-4-yl)-2-oxopropyl dihydrogen phosphate [cytoplasm] + H2O [cytoplasm] ","YOR202W","High Diversity","High Diversity","Yes","Yes",0.609466522991684,0.00432699540513921,0.813694618481121,1.06840313275813e-05,"Yes",0.821457047294585,0.812695945505571,7.9967656931929e-07
"r_0565","H2O [cytoplasm] + IMP [cytoplasm] + NAD [cytoplasm]  -> H+ [cytoplasm] + NADH [cytoplasm] + xanthosine-5-phosphate [cytoplasm] ","( YHR216W or YLR432W or YML056C )","High Diversity","High Diversity","No","Yes",0.18702814252481,0.507245973519581,0.652274134964094,0.00188010334585695,"Yes",0.704545715022956,0.681822299327228,0.000174436300738863
"r_0566","1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm] + H+ [cytoplasm]  -> 1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm] + carbon dioxide [cytoplasm] + H2O [cytoplasm] ","YKL211C","Low Diversity","High Diversity","No","No",0.0787257681808231,0.806601091487963,0.0698721592077871,0.788319646386136,"No",0.171411977582983,0.106879594278129,0.611103173276114
"r_0568","diphosphate [cytoplasm] + H2O [cytoplasm]  -> H+ [cytoplasm] + 2 phosphate [cytoplasm] ","YBR011C","Low Diversity","Low Diversity","No","No",-0.0583174279153804,0.871216680338838,NA,NA,"No",0,NA,NA
"r_0570","phosphoribosyl-formamido-carboxamide [cytoplasm]  <=> H2O [cytoplasm] + IMP [cytoplasm] ","( YLR028C or YMR120C )","High Diversity","High Diversity","Yes","Yes",0.505046605912554,0.0289050252607355,0.71073401301615,0.000441602360620251,"Yes",0.749413464584516,0.692614516066194,0.000124563093572799
"r_0658","isocitrate [mitochondrion] + NAD [mitochondrion]  -> 2-oxoglutarate [mitochondrion] + carbon dioxide [mitochondrion] + NADH [mitochondrion] ","( YNL037C and YOR136W )","High Diversity","High Diversity","No","No",-0.068658612400797,0.840937384895041,-0.00244935096158997,0.995424394036811,"No",0.356207698553782,0.170788381477685,0.414359364550888
"r_0663","2-oxoglutarate [cytoplasm] + L-isoleucine [cytoplasm]  <=> (S)-3-methyl-2-oxopentanoate [cytoplasm] + L-glutamate [cytoplasm] ","YJR148W","High Diversity","High Diversity","No","No",0.231617361131984,0.422260085639928,0.279620126518284,0.272086136033608,"No",0.376169042042897,0.199760725542025,0.33838295172469
"r_0669","(S)-2-acetyl-2-hydroxybutanoate [mitochondrion] + H+ [mitochondrion] + NADPH [mitochondrion]  -> (2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion] + NADP(+) [mitochondrion] ","YLR355C","Low Diversity","High Diversity","No","No",0.198053372437837,0.477210707840184,0.337760420867844,0.175944901428086,"No",0.359023095448534,0.202914478226964,0.330652427108633
"r_0678","ATP [cytoplasm] + H+ [cytoplasm] + L-2-aminoadipate [cytoplasm] + NADPH [cytoplasm]  -> AMP [cytoplasm] + diphosphate [cytoplasm] + L-allysine [cytoplasm] + NADP(+) [cytoplasm] ","( YBR115C and YGL154C )","Not measured","High Diversity","No","Yes",NA,NA,0.576783502384659,0.0076993681118105,"Yes",0.638128854515687,0.317179503002745,0.12236827380253
"r_0692","L-threonine [cytoplasm]  -> 2-oxobutanoate [cytoplasm] + ammonium [cytoplasm] ","YCL064C","Not measured","High Diversity","No","No",NA,NA,0.15187123939714,0.601101244255941,"No",0.290610971545691,0.0969657055187828,0.644729518011312
"r_0697","glutathione [cytoplasm] + methylglyoxal [cytoplasm]  -> (R)-S-lactoylglutathione [cytoplasm] ","YML004C","Low Diversity","Low Diversity","No","No",-0.00774265312020772,0.988246525616098,-0.0998893775307456,0.739365520706623,"No",-0.0130140345572576,NA,NA
"r_0699","2-oxoglutarate [cytoplasm] + L-leucine [cytoplasm]  <=> 4-methyl-2-oxopentanoate [cytoplasm] + L-glutamate [cytoplasm] ","YJR148W","High Diversity","Low Diversity","No","No",-0.764262978713113,9.7019491954749e-05,-0.862300482781642,1.51730318016191e-06,"No",-0.741298126865826,-0.79216559935226,2.37321801008572e-06
"r_0713","(S)-malate [mitochondrion] + NAD [mitochondrion]  <=> H+ [mitochondrion] + NADH [mitochondrion] + oxaloacetate [mitochondrion] ","YKL085W","Low Diversity","High Diversity","No","No",0.16957080923112,0.552272265455836,0.0952913885913177,0.747452927351538,"No",0.185494047595794,0.177072547900859,0.397130941470629
"r_0718","(S)-malate [mitochondrion] + NAD [mitochondrion]  -> carbon dioxide [mitochondrion] + NADH [mitochondrion] + pyruvate [mitochondrion] ","YKL029C","High Diversity","High Diversity","Yes","Yes",0.782701067579949,5.87544105316125e-05,0.789996946680794,2.94964344235134e-05,"Yes",0.83005405269407,NA,NA
"r_0722","D-mannose 1-phosphate [cytoplasm] + GTP [cytoplasm] + H+ [cytoplasm]  -> diphosphate [cytoplasm] + GDP-alpha-D-mannose [cytoplasm] ","YDL055C","High Diversity","High Diversity","No","No",-0.508317112302751,0.0281322869264951,0.220371044477881,0.404215994472566,"Yes",0.668437642127156,-0.622221641021382,0.000896581390379302
"r_0723","D-mannose 6-phosphate [cytoplasm]  <=> D-fructose 6-phosphate [cytoplasm] ","YER003C","Low Diversity","High Diversity","No","No",-0.332278338303992,0.2176226482607,0.408323825564901,0.0879364073675605,"Yes",0.652646426248174,-0.6384789369704,0.000593332386581383
"r_0727","5-methyltetrahydrofolate [cytoplasm] + L-homocysteine [cytoplasm]  -> H+ [cytoplasm] + L-methionine [cytoplasm] + THF [cytoplasm] ","YER091C","High Diversity","High Diversity","Yes","Yes",0.488901467764693,0.0353335372763758,0.460949594495632,0.0450318790301706,"Yes",0.489691077864252,0.254344347058695,0.219854497626306
"r_0759","H+ [mitochondrion] + N-acetyl-L-gamma-glutamyl phosphate [mitochondrion] + NADPH [mitochondrion]  -> 2-acetamido-5-oxopentanoate [mitochondrion] + NADP(+) [mitochondrion] + phosphate [mitochondrion] ","YER069W","Low Diversity","High Diversity","Yes","Yes",0.640491132606357,0.00231068751694935,0.769319272536102,6.71835054541095e-05,"Yes",0.829237866866939,0.762302829509286,9.47646016166397e-06
"r_0770","H+ [cytoplasm] + NADH [cytoplasm] + ubiquinone-6 [mitochondrion]  -> NAD [cytoplasm] + ubiquinol-6 [mitochondrion] ","( YDL085W or YMR145C )","Low Diversity","High Diversity","No","No",-0.0090109139280939,0.988246525616098,-0.0584602196517832,0.808019561947798,"No",-0.0090132968429295,0.504047825592017,0.0101961434378734
"r_0773","H+ [mitochondrion] + NADH [mitochondrion] + ubiquinone-6 [mitochondrion]  -> NAD [mitochondrion] + ubiquinol-6 [mitochondrion] ","YML120C","High Diversity","High Diversity","No","No",0.143004469553781,0.622035903161854,0.111079502218042,0.719210357516982,"No",0.143002647711321,0.0606802828451532,0.773244282816823
"r_0799","ATP [cytoplasm] + dTDP [cytoplasm]  -> ADP [cytoplasm] + dTTP [cytoplasm] ","YKL067W","High Diversity","High Diversity","No","No",0.227351756482006,0.425172369831704,0.227107052274684,0.38858974037687,"No",0.227938780113139,-0.463217165669927,0.0197025538977362
"r_0800","ATP [cytoplasm] + GDP [cytoplasm]  -> ADP [cytoplasm] + GTP [cytoplasm] ","YKL067W","High Diversity","High Diversity","No","No",-0.228140808744625,0.425172369831704,NA,NA,"No",0,0.579478839943003,0.00239981497926658
"r_0811","ATP [cytoplasm] + UDP [cytoplasm]  -> ADP [cytoplasm] + UTP [cytoplasm] ","YKL067W","High Diversity","High Diversity","No","No",-0.351157639188346,0.182101626984824,-0.34634220286933,0.162868148590064,"No",0.153168223127114,0.189961476191634,0.363085663543402
"r_0813","hydrogen sulfide [cytoplasm] + O-acetyl-L-homoserine [cytoplasm]  -> acetate [cytoplasm] + H+ [cytoplasm] + L-homocysteine [cytoplasm] ","YLR303W","High Diversity","High Diversity","No","Yes",-0.00270032938601997,0.989779067264531,0.454818973111769,0.0483573969151767,"Yes",0.58340281617168,0.0777506418422875,0.711821774641669
"r_0816","carbamoyl phosphate [cytoplasm] + ornithine [cytoplasm]  -> H+ [cytoplasm] + L-citrulline [cytoplasm] + phosphate [cytoplasm] ","YJL088W","High Diversity","High Diversity","Yes","Yes",0.72485428196027,0.000381806803015264,0.47761664086808,0.0353927370058782,"Yes",0.766916837376582,0.758422507345308,1.11803313219294e-05
"r_0818","L-glutamate [mitochondrion] + N(2)-acetyl-L-ornithine [mitochondrion]  -> N-acetyl-L-glutamate [mitochondrion] + ornithine [mitochondrion] ","YMR062C","Low Diversity","High Diversity","Yes","Yes",0.812198404203,1.8325484401044e-05,0.761709368944418,8.58696002193199e-05,"Yes",0.829443795921677,0.762807974924698,9.27256336211641e-06
"r_0820","diphosphate [cytoplasm] + orotidine 5'-(dihydrogen phosphate) [cytoplasm]  <=> orotate [cytoplasm] + PRPP [cytoplasm] ","( YML106W or YMR271C )","Not measured","High Diversity","No","No",NA,NA,-0.709743057885093,0.000441602360620251,"Yes",0.577035045825559,0.11902779637139,0.570924130610355
"r_0821","H+ [cytoplasm] + orotidine 5'-(dihydrogen phosphate) [cytoplasm]  -> carbon dioxide [cytoplasm] + UMP [cytoplasm] ","YEL021W","High Diversity","High Diversity","Yes","No",0.668687930159723,0.00134191664406946,-0.712459066950692,0.000441253514626435,"Yes",0.71333581658042,0.119139048914179,0.570561665767914
"r_0831","coenzyme A [mitochondrion] + S(8)-succinyldihydrolipoamide [mitochondrion]  -> dihydrolipoamide [mitochondrion] + succinyl-CoA [mitochondrion] ","( YDR148C and YFL018C and YIL125W )","Low Diversity","Low Diversity","No","No",0.192790867443913,0.491258477706242,0.258827217814332,0.318081729569065,"No",0.288738005054359,0.258639251550592,0.211898075006752
"r_0832","2-oxoglutarate [mitochondrion] + H+ [mitochondrion] + lipoamide [mitochondrion]  -> carbon dioxide [mitochondrion] + S(8)-succinyldihydrolipoamide [mitochondrion] ","( YDR148C and YFL018C and YIL125W )","Low Diversity","High Diversity","No","No",0.148212952397162,0.608195185340743,0.217321563657587,0.411127331541081,"No",0.254324686612461,0.227372155386348,0.274370490061064
"r_0855","5'-phosphoribosyl-N-formylglycineamidine [cytoplasm] + ATP [cytoplasm]  -> 5'-phosphoribosyl-5-aminoimidazole [cytoplasm] + ADP [cytoplasm] + 2 H+ [cytoplasm] + phosphate [cytoplasm] ","YGL234W","High Diversity","High Diversity","Yes","Yes",0.665658153915718,0.00137329950018701,0.588000578434073,0.0065644935714328,"Yes",0.699153215579486,0.680452506054763,0.000181873882236667
"r_0883","3'-phospho-5'-adenylyl sulfate [cytoplasm] + TRX1 [cytoplasm]  -> adenosine 3',5'-bismonophosphate [cytoplasm] + 2 H+ [cytoplasm] + sulphite [cytoplasm] + TRX1 disulphide [cytoplasm] ","(( YGR209C and YPR167C ) or ( YLR043C and YPR167C ))","High Diversity","High Diversity","No","No",-0.217064061675841,0.43668752319819,-0.0669787402085561,0.791077701794939,"No",0.231061398387375,-0.131221936225551,0.531818675478365
"r_0886","ATP [cytoplasm] + D-fructose 6-phosphate [cytoplasm]  -> ADP [cytoplasm] + D-fructose 1,6-bisphosphate [cytoplasm] + H+ [cytoplasm] ","( YMR205C or ( YGR240C and YMR205C ))","High Diversity","High Diversity","Yes","No",0.495545148428957,0.0322151183157899,0.271448977341221,0.290544108906734,"Yes",0.495487974296524,0.324013004385412,0.114085412155012
"r_0887","ATP [cytoplasm] + sedoheptulose 7-phosphate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + sedoheptulose 1,7-bisphosphate [cytoplasm] ","( YMR205C or ( YGR240C and YMR205C ))","High Diversity","High Diversity","No","No",-0.216561409531709,0.43668752319819,-0.125769623076673,0.676854636939607,"No",0.025959896645865,-0.206211181920759,0.322686522312091
"r_0888","D-glucose 6-phosphate [cytoplasm]  <=> D-glucose 1-phosphate [cytoplasm] ","( YMR105C or YKL127W )","High Diversity","High Diversity","No","No",-0.212375825747517,0.445043861995228,-0.108857529667855,0.724012517638457,"No",0.376471023950662,0.263416473750386,0.203278858867334
"r_0889","6-phospho-D-gluconate [cytoplasm] + NADP(+) [cytoplasm]  -> carbon dioxide [cytoplasm] + D-ribulose 5-phosphate [cytoplasm] + NADPH [cytoplasm] ","( YGR256W or YHR183W )","High Diversity","High Diversity","No","No",0.100172915561811,0.737824859807077,0.0143816862662001,0.954608058538594,"No",0.100168822997623,-0.203277421798359,0.329769672268252
"r_0891","3-phosphonato-D-glycerate(3-) [cytoplasm] + NAD [cytoplasm]  -> 3-phospho-hydroxypyruvate [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm] ","( YER081W or YIL074C )","High Diversity","High Diversity","No","No",-0.0979478933227799,0.741134336301439,0.0458970923846874,0.839423771065272,"No",0.170953062525917,0.0995122546536066,0.636023647873269
"r_0892","1,3-bisphospho-D-glycerate [cytoplasm] + ADP [cytoplasm]  <=> 3-phosphonato-D-glycerate(3-) [cytoplasm] + ATP [cytoplasm] ","YCR012W","Low Diversity","Low Diversity","No","No",0.206997986038176,0.454956646000209,0.325001392453534,0.192742627689259,"Yes",0.542161244742712,0.322038912259305,0.116434657090284
"r_0893","3-phosphonato-D-glycerate(3-) [cytoplasm]  <=> 2-phospho-D-glyceric acid [cytoplasm] ","( YOR283W or YKL152C )","High Diversity","High Diversity","No","No",0.392445487345924,0.120046087096588,0.317814608891318,0.201367707374673,"No",0.475469697682221,0.275254368757719,0.182956270598105
"r_0902","D-mannose 1-phosphate [cytoplasm]  <=> D-mannose 6-phosphate [cytoplasm] ","YFL045C","High Diversity","High Diversity","No","No",-0.455265601330829,0.0558730816130879,-0.201342362552323,0.451671523639135,"Yes",0.590056582425689,-0.623363463520473,0.000871604021741444
"r_0908","ATP [cytoplasm] + L-aspartate [cytoplasm] + phosphoribosyl-carboxy-aminoimidazole [cytoplasm]  -> 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole [cytoplasm] + ADP [cytoplasm] + H+ [cytoplasm] + phosphate [cytoplasm] ","YAR015W","High Diversity","High Diversity","Yes","Yes",0.653011739442686,0.00184447611666675,0.611272362738194,0.00435063005036738,"Yes",0.707678644696894,0.679177591238264,0.0001890442044138
"r_0909","1-(5-phosphoribosyl)-5'-AMP [cytoplasm] + H2O [cytoplasm]  -> 1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm] ","YCL030C","High Diversity","High Diversity","Yes","Yes",0.82844120008027,1.13146935305001e-05,0.82588510140244,8.47264708938035e-06,"Yes",0.855804486240079,0.814438372647729,7.24781775766909e-07
"r_0910","5-phosphoribosyl-ATP [cytoplasm] + H2O [cytoplasm]  -> 1-(5-phosphoribosyl)-5'-AMP [cytoplasm] + diphosphate [cytoplasm] + H+ [cytoplasm] ","YCL030C","High Diversity","High Diversity","Yes","Yes",0.82713624082037,1.13146935305001e-05,0.824613290054917,8.47264708938035e-06,"Yes",0.841160109489118,0.814095124112033,7.39018229775174e-07
"r_0911","5'-phosphoribosyl-5-aminoimidazole [cytoplasm] + ATP [cytoplasm] + carbon dioxide [cytoplasm] + H2O [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + phosphate [cytoplasm] + phosphoribosyl-carboxy-aminoimidazole [cytoplasm] ","YOR128C","High Diversity","High Diversity","Yes","Yes",0.524864635522501,0.0234451132210852,0.600188854099399,0.00535326860630462,"Yes",0.699798949764457,0.676462897602047,0.000205141124598435
"r_0912","10-formyl-THF [cytoplasm] + AICAR [cytoplasm]  <=> phosphoribosyl-formamido-carboxamide [cytoplasm] + THF [cytoplasm] ","( YLR028C or YMR120C )","High Diversity","High Diversity","Yes","Yes",0.504078051783536,0.0289050252607355,0.701350262232764,0.000568445266326417,"Yes",0.748227251726208,0.687743835149254,0.000145260218057219
"r_0913","N-(5-phospho-beta-D-ribosyl)anthranilate [cytoplasm]  -> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm] ","YDR007W","Not measured","High Diversity","No","No",NA,NA,0.0803768065788605,0.770965983501207,"No",0.164296560423782,0.107799107766965,0.608021422441072
"r_0914","5-phosphoribosylamine [cytoplasm] + ATP [cytoplasm] + L-glycine [cytoplasm]  -> 5-phospho-ribosyl-glycineamide [cytoplasm] + ADP [cytoplasm] + H+ [cytoplasm] + phosphate [cytoplasm] ","YGL234W","High Diversity","High Diversity","Yes","Yes",0.66620773144419,0.00137329950018701,0.613312606322291,0.00429242939655667,"Yes",0.683178113883522,0.677038312508103,0.000201632519468915
"r_0915","H2O [cytoplasm] + L-glutamine [cytoplasm] + PRPP [cytoplasm]  -> 5-phosphoribosylamine [cytoplasm] + diphosphate [cytoplasm] + L-glutamate [cytoplasm] ","YMR300C","High Diversity","High Diversity","Yes","Yes",0.635623107629023,0.00249222434626161,0.582752158981606,0.00707524670615892,"Yes",0.682376221878961,0.679765595414383,0.000185707017891191
"r_0916","ATP [cytoplasm] + ribose-5-phosphate [cytoplasm]  -> AMP [cytoplasm] + H+ [cytoplasm] + PRPP [cytoplasm] ","(( YKL181W and YER099C ) or ( YKL181W and YHL011C ) or ( YKL181W and YBL068W ) or ( YER099C and YOL061W ) or ( YBL068W and YOL061W ))","Not measured","High Diversity","No","No",NA,NA,0.435982563162388,0.0622393514265154,"Yes",0.749964908644527,-0.148692470374959,0.478102130898453
"r_0917","3-phospho-serine [cytoplasm] + H2O [cytoplasm]  -> L-serine [cytoplasm] + phosphate [cytoplasm] ","YGR208W","Not measured","High Diversity","No","No",NA,NA,0.0759347074731387,0.774103159678746,"No",0.355372234485747,0.177329105814051,0.396436258698191
"r_0918","3-phospho-hydroxypyruvate [cytoplasm] + L-glutamate [cytoplasm]  -> 2-oxoglutarate [cytoplasm] + 3-phospho-serine [cytoplasm] ","YOR184W","High Diversity","High Diversity","No","No",0.294853149697487,0.308919907298862,0.0795313390101354,0.770965983501207,"No",0.285435655840993,0.143372915378518,0.494158797054381
"r_0938","H+ [cytoplasm] + prephenate [cytoplasm]  -> carbon dioxide [cytoplasm] + H2O [cytoplasm] + keto-phenylpyruvate [cytoplasm] ","YNL316C","Not measured","High Diversity","No","Yes",NA,NA,0.550867053113562,0.0115943419015861,"Yes",0.572788641560153,0.431994393232118,0.0310458203782889
"r_0939","NADP(+) [cytoplasm] + prephenate [cytoplasm]  -> 3-(4-hydroxyphenyl)pyruvate [cytoplasm] + carbon dioxide [cytoplasm] + NADPH [cytoplasm] ","YBR166C","Not measured","High Diversity","No","Yes",NA,NA,0.78209154885021,4.10962223779159e-05,"Yes",0.805025552219334,0.805495350054401,1.18814880817248e-06
"r_0957","1-pyrroline-5-carboxylate [cytoplasm] + 2 H+ [cytoplasm] + NADPH [cytoplasm]  -> L-proline [cytoplasm] + NADP(+) [cytoplasm] ","YER023W","High Diversity","High Diversity","No","Yes",-0.264117563670501,0.379727079089756,0.565160771144585,0.00928760001169514,"Yes",0.638567663463471,0.599873061712953,0.00152609425783903
"r_0958","ATP [cytoplasm] + bicarbonate [cytoplasm] + pyruvate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + oxaloacetate [cytoplasm] + phosphate [cytoplasm] ","( YBR218C or YGL062W )","Low Diversity","Low Diversity","Yes","No",0.512052513667768,0.0281322869264951,0.395056203030284,0.102249927361264,"Yes",0.51310316237577,NA,NA
"r_0959","H+ [cytoplasm] + pyruvate [cytoplasm]  -> acetaldehyde [cytoplasm] + carbon dioxide [cytoplasm] ","( YGR087C or YLR044C or YLR134W )","High Diversity","High Diversity","Yes","Yes",0.688181839599725,0.000798291312948712,0.720140369273966,0.000348348898003836,"Yes",0.743103594547438,0.347341603594377,0.0888999937347221
"r_0961","coenzyme A [mitochondrion] + NAD [mitochondrion] + pyruvate [mitochondrion]  -> acetyl-CoA [mitochondrion] + carbon dioxide [mitochondrion] + NADH [mitochondrion] ","( YBR221C and YER178W and YFL018C and YGR193C and YNL071W )","Low Diversity","High Diversity","No","No",0.258577729570768,0.384577469909194,0.284210968764321,0.262732828730586,"No",0.326638200715224,NA,NA
"r_0962","ADP [cytoplasm] + H+ [cytoplasm] + phosphoenolpyruvate [cytoplasm]  -> ATP [cytoplasm] + pyruvate [cytoplasm] ","( YAL038W or YOR347C )","High Diversity","Low Diversity","Yes","Yes",0.534676150414273,0.0199888687722361,0.491933637919864,0.0297706465744608,"Yes",0.601584906121118,0.329299956369263,0.107965367490971
"r_0970","ATP [cytoplasm] + TRX1 [cytoplasm]  -> dATP [cytoplasm] + H2O [cytoplasm] + TRX1 disulphide [cytoplasm] ","YGR209C","High Diversity","High Diversity","No","No",-0.24037712369312,0.413042060220297,-0.585189677209369,0.00681091276869383,"No",0.0861657676627682,NA,NA
"r_0971","CTP [cytoplasm] + TRX1 [cytoplasm]  -> dCTP [cytoplasm] + H2O [cytoplasm] + TRX1 disulphide [cytoplasm] ","YGR209C","High Diversity","High Diversity","No","No",-0.239342339829379,0.413042060220297,-0.60687604246081,0.00474170987075924,"No",-0.226512381556515,NA,NA
"r_0973","UTP [cytoplasm] + TRX1 [cytoplasm]  -> dUTP [cytoplasm] + H2O [cytoplasm] + TRX1 disulphide [cytoplasm] ","YGR209C","High Diversity","High Diversity","No","No",-0.239867317883647,0.413042060220297,-0.590225894123751,0.00648822769585532,"No",-0.240126931109365,-0.459495268069713,0.020844073213816
"r_0982","D-ribulose 5-phosphate [cytoplasm]  <=> ribose-5-phosphate [cytoplasm] ","YOR095C","Not measured","High Diversity","No","No",NA,NA,-0.188422251282096,0.486353376515532,"No",-0.0635052197393761,-0.241192801881782,0.245450760360313
